t,backlog_bytes,backlog_pkts,dropped_total
1764722758.227376,0,0,0
1764722758.431428,298,1,0
1764722758.633889,298,1,0
1764722758.836632,298,1,0
1764722759.041513,298,1,0
1764722759.246135,298,1,0
1764722759.451731,298,1,0
1764722759.656601,298,1,0
1764722759.862912,298,1,0
1764722760.068010,298,1,0
1764722760.273416,298,1,0
1764722760.478288,298,1,0
1764722760.684604,298,1,0
1764722760.890890,298,1,0
1764722761.096548,298,1,0
1764722761.302155,298,1,0
1764722761.507043,298,1,0
1764722761.712773,298,1,0
1764722761.919515,298,1,0
1764722762.124952,298,1,0
1764722762.331047,298,1,0
1764722762.536983,298,1,0
1764722762.742686,298,1,0
1764722762.948441,298,1,0
1764722763.153734,298,1,0
1764722763.359556,298,1,0
1764722763.564504,298,1,0
1764722763.769583,298,1,0
1764722763.974774,298,1,0
1764722764.181126,298,1,0
1764722764.385952,298,1,0
1764722764.591087,1162,2,0
1764722764.796574,298,1,0
1764722765.002733,298,1,0
1764722765.208506,298,1,0
1764722765.414157,298,1,0
1764722765.619950,298,1,0
1764722765.825995,298,1,0
1764722766.029738,298,1,0
1764722766.235694,298,1,0
1764722766.442547,298,1,0
1764722766.648459,298,1,0
1764722766.854495,298,1,0
1764722767.060265,298,1,0
1764722767.265529,298,1,0
1764722767.470638,596,2,0
1764722767.677102,298,1,0
1764722767.883472,298,1,0
1764722768.089512,298,1,0
1764722768.295697,298,1,0
1764722768.500873,298,1,0
1764722768.706675,298,1,0
1764722768.913139,298,1,0
1764722769.117404,298,1,0
1764722769.321337,298,1,0
1764722769.526201,298,1,0
1764722769.732026,298,1,0
1764722769.938349,298,1,0
1764722770.143661,298,1,0
1764722770.350127,298,1,0
1764722770.555041,298,1,0
1764722770.760587,596,2,0
1764722770.966206,298,1,0
1764722771.172302,298,1,0
1764722771.377009,298,1,0
1764722771.583277,298,1,0
1764722771.789099,298,1,0
1764722771.995589,298,1,0
1764722772.201545,298,1,0
1764722772.407191,298,1,0
1764722772.613554,298,1,0
1764722772.819603,298,1,0
1764722773.025085,298,1,0
1764722773.231138,298,1,0
1764722773.437005,298,1,0
1764722773.642753,298,1,0
1764722773.847125,298,1,0
1764722774.052768,298,1,0
1764722774.258810,298,1,0
1764722774.464785,298,1,0
1764722774.670967,298,1,0
1764722774.876783,298,1,0
1764722775.082415,298,1,0
1764722775.287985,298,1,0
1764722775.493621,298,1,0
1764722775.699271,298,1,0
1764722775.905449,298,1,0
1764722776.111476,298,1,0
1764722776.316433,298,1,0
1764722776.523069,298,1,0
1764722776.729287,298,1,0
1764722776.935189,298,1,0
1764722777.141251,298,1,0
1764722777.346974,298,1,0
1764722777.551600,298,1,0
1764722777.758131,298,1,0
1764722777.963738,298,1,0
1764722778.169983,298,1,0
1764722778.376808,0,0,0
1764722778.583496,0,0,0
1764722778.789747,0,0,0
1764722778.996050,0,0,0
1764722779.201805,0,0,0
1764722779.408059,0,0,0
1764722779.614562,0,0,0
1764722779.820777,0,0,0
1764722780.026975,0,0,0
