t_send,seq,bytes
1764724071.621531,1985,256
1764724071.626586,1986,256
1764724071.631605,1987,256
1764724071.636599,1988,256
1764724071.641609,1989,256
1764724071.646594,1990,256
1764724071.651614,1991,256
1764724071.656595,1992,256
1764724071.661587,1993,256
1764724071.666581,1994,256
1764724071.671552,1995,256
1764724071.676538,1996,256
1764724071.681633,1997,256
1764724071.686625,1998,256
1764724071.691674,1999,256
1764724071.696712,2000,256
1764724071.701706,2001,256
1764724071.706711,2002,256
1764724071.711704,2003,256
1764724071.716706,2004,256
1764724071.721696,2005,256
1764724071.726716,2006,256
1764724071.731706,2007,256
1764724071.736716,2008,256
1764724071.741704,2009,256
1764724071.746713,2010,256
1764724071.751695,2011,256
1764724071.756669,2012,256
1764724071.761671,2013,256
1764724071.766706,2014,256
1764724071.771707,2015,256
1764724071.776702,2016,256
1764724071.781701,2017,256
1764724071.786626,2018,256
1764724071.791617,2019,256
1764724071.796661,2020,256
1764724071.801667,2021,256
1764724071.806704,2022,256
1764724071.811707,2023,256
1764724071.816705,2024,256
1764724071.821694,2025,256
1764724071.826710,2026,256
1764724071.831703,2027,256
1764724071.836696,2028,256
1764724071.841678,2029,256
1764724071.846718,2030,256
1764724071.851707,2031,256
1764724071.856708,2032,256
1764724071.861712,2033,256
1764724071.866704,2034,256
1764724071.871704,2035,256
1764724071.876616,2036,256
1764724071.881539,2037,256
1764724071.886568,2038,256
1764724071.891639,2039,256
1764724071.896629,2040,256
1764724071.901630,2041,256
1764724071.906625,2042,256
1764724071.911714,2043,256
1764724071.916704,2044,256
1764724071.921708,2045,256
1764724071.926712,2046,256
1764724071.931713,2047,256
1764724071.936710,2048,256
1764724071.941715,2049,256
1764724071.946708,2050,256
1764724071.951711,2051,256
1764724071.956713,2052,256
1764724071.961718,2053,256
1764724071.966696,2054,256
1764724071.971714,2055,256
1764724071.976710,2056,256
1764724071.981697,2057,256
1764724071.986715,2058,256
1764724071.991649,2059,256
1764724071.996681,2060,256
1764724072.001662,2061,256
1764724072.006710,2062,256
1764724072.011605,2063,256
1764724072.016597,2064,256
1764724072.021590,2065,256
1764724072.026601,2066,256
1764724072.031613,2067,256
1764724072.036600,2068,256
1764724072.041600,2069,256
1764724072.046597,2070,256
1764724072.051603,2071,256
1764724072.056625,2072,256
1764724072.061596,2073,256
1764724072.066635,2074,256
1764724072.071609,2075,256
1764724072.076606,2076,256
1764724072.081578,2077,256
1764724072.086545,2078,256
1764724072.091542,2079,256
1764724072.096547,2080,256
1764724072.101539,2081,256
1764724072.106538,2082,256
1764724072.111539,2083,256
1764724072.116550,2084,256
1764724072.121603,2085,256
1764724072.126601,2086,256
1764724072.131603,2087,256
1764724072.136606,2088,256
1764724072.141615,2089,256
1764724072.146601,2090,256
1764724072.151602,2091,256
1764724072.156614,2092,256
1764724072.161595,2093,256
1764724072.166614,2094,256
1764724072.171597,2095,256
1764724072.176602,2096,256
1764724072.181626,2097,256
1764724072.186611,2098,256
1764724072.191603,2099,256
1764724072.196610,2100,256
1764724072.201609,2101,256
1764724072.206587,2102,256
1764724072.211607,2103,256
1764724072.216599,2104,256
1764724072.221602,2105,256
1764724072.226604,2106,256
1764724072.231606,2107,256
1764724072.236611,2108,256
1764724072.241587,2109,256
1764724072.246603,2110,256
1764724072.251602,2111,256
1764724072.256608,2112,256
1764724072.261586,2113,256
1764724072.266582,2114,256
1764724072.271576,2115,256
1764724072.276572,2116,256
1764724072.281585,2117,256
1764724072.286570,2118,256
1764724072.291550,2119,256
1764724072.296545,2120,256
1764724072.301576,2121,256
1764724072.306564,2122,256
1764724072.311564,2123,256
1764724072.316566,2124,256
1764724072.321564,2125,256
1764724072.326605,2126,256
1764724072.331608,2127,256
1764724072.336609,2128,256
1764724072.341606,2129,256
1764724072.346616,2130,256
1764724072.351612,2131,256
1764724072.356611,2132,256
1764724072.361616,2133,256
1764724072.366620,2134,256
1764724072.371626,2135,256
1764724072.376624,2136,256
1764724072.381614,2137,256
1764724072.386617,2138,256
1764724072.391615,2139,256
1764724072.396618,2140,256
1764724072.401557,2141,256
1764724072.406548,2142,256
1764724072.411606,2143,256
1764724072.416609,2144,256
1764724072.421616,2145,256
1764724072.426622,2146,256
1764724072.431623,2147,256
1764724072.436608,2148,256
1764724072.441620,2149,256
1764724072.446613,2150,256
1764724072.451615,2151,256
1764724072.456618,2152,256
1764724072.461617,2153,256
1764724072.466609,2154,256
1764724072.471623,2155,256
1764724072.476616,2156,256
1764724072.481559,2157,256
1764724072.486623,2158,256
1764724072.491573,2159,256
1764724072.496557,2160,256
1764724072.501558,2161,256
1764724072.506561,2162,256
1764724072.511567,2163,256
1764724072.516573,2164,256
1764724072.521587,2165,256
1764724072.526725,2166,256
1764724072.531727,2167,256
1764724072.536730,2168,256
1764724072.541641,2169,256
1764724072.546561,2170,256
1764724072.551589,2171,256
1764724072.556576,2172,256
1764724072.561602,2173,256
1764724072.566554,2174,256
1764724072.571552,2175,256
1764724072.576542,2176,256
1764724072.581548,2177,256
1764724072.586547,2178,256
1764724072.591550,2179,256
1764724072.596556,2180,256
1764724072.601562,2181,256
1764724072.606570,2182,256
1764724072.611562,2183,256
1764724072.616571,2184,256
1764724072.621610,2185,256
1764724072.626613,2186,256
1764724072.631639,2187,256
1764724072.636657,2188,256
1764724072.641647,2189,256
1764724072.646694,2190,256
1764724072.651699,2191,256
1764724072.656728,2192,256
1764724072.661654,2193,256
1764724072.666651,2194,256
1764724072.671610,2195,256
1764724072.676655,2196,256
1764724072.681581,2197,256
1764724072.686713,2198,256
1764724072.691674,2199,256
1764724072.696566,2200,256
1764724072.701566,2201,256
1764724072.706571,2202,256
1764724072.711580,2203,256
1764724072.716554,2204,256
1764724072.721548,2205,256
1764724072.726560,2206,256
1764724072.731573,2207,256
1764724072.736565,2208,256
1764724072.741556,2209,256
1764724072.746567,2210,256
1764724072.751574,2211,256
1764724072.756568,2212,256
1764724072.761561,2213,256
1764724072.766561,2214,256
1764724072.771593,2215,256
1764724072.776611,2216,256
1764724072.781582,2217,256
1764724072.786576,2218,256
1764724072.791585,2219,256
1764724072.796593,2220,256
1764724072.801592,2221,256
1764724072.806782,2222,256
1764724072.811581,2223,256
1764724072.816624,2224,256
1764724072.821594,2225,256
1764724072.826596,2226,256
1764724072.831680,2227,256
1764724072.836582,2228,256
1764724072.841563,2229,256
1764724072.846583,2230,256
1764724072.851570,2231,256
1764724072.856606,2232,256
1764724072.861547,2233,256
1764724072.866567,2234,256
1764724072.871558,2235,256
1764724072.876554,2236,256
1764724072.881559,2237,256
1764724072.886559,2238,256
1764724072.891550,2239,256
1764724072.896554,2240,256
1764724072.901566,2241,256
1764724072.906566,2242,256
1764724072.911557,2243,256
1764724072.916551,2244,256
1764724072.921549,2245,256
1764724072.926547,2246,256
1764724072.931584,2247,256
1764724072.936548,2248,256
1764724072.941548,2249,256
1764724072.946547,2250,256
1764724072.951548,2251,256
1764724072.956551,2252,256
1764724072.961586,2253,256
1764724072.966548,2254,256
1764724072.971606,2255,256
1764724072.976547,2256,256
1764724072.981599,2257,256
1764724072.986549,2258,256
1764724072.991551,2259,256
1764724072.996549,2260,256
1764724073.001552,2261,256
1764724073.006549,2262,256
1764724073.011558,2263,256
1764724073.016560,2264,256
1764724073.021547,2265,256
1764724073.026545,2266,256
1764724073.031618,2267,256
1764724073.036565,2268,256
1764724073.041557,2269,256
1764724073.046567,2270,256
1764724073.051575,2271,256
1764724073.056570,2272,256
1764724073.061613,2273,256
1764724073.066576,2274,256
1764724073.071574,2275,256
1764724073.076580,2276,256
1764724073.081577,2277,256
1764724073.086612,2278,256
1764724073.091582,2279,256
1764724073.096622,2280,256
1764724073.101632,2281,256
1764724073.106586,2282,256
1764724073.111570,2283,256
1764724073.116572,2284,256
1764724073.121568,2285,256
1764724073.126556,2286,256
1764724073.131572,2287,256
1764724073.136588,2288,256
1764724073.141629,2289,256
1764724073.146635,2290,256
1764724073.151607,2291,256
1764724073.156577,2292,256
1764724073.161593,2293,256
1764724073.166581,2294,256
1764724073.171590,2295,256
1764724073.176582,2296,256
1764724073.181632,2297,256
1764724073.186585,2298,256
1764724073.191573,2299,256
1764724073.196581,2300,256
1764724073.201585,2301,256
1764724073.206622,2302,256
1764724073.211577,2303,256
1764724073.216572,2304,256
1764724073.221591,2305,256
1764724073.226633,2306,256
1764724073.231581,2307,256
1764724073.236578,2308,256
1764724073.241578,2309,256
1764724073.246569,2310,256
1764724073.251581,2311,256
1764724073.256574,2312,256
1764724073.261609,2313,256
1764724073.266579,2314,256
1764724073.271620,2315,256
1764724073.276568,2316,256
1764724073.281619,2317,256
1764724073.286592,2318,256
1764724073.291618,2319,256
1764724073.296571,2320,256
1764724073.301564,2321,256
1764724073.306565,2322,256
1764724073.311572,2323,256
1764724073.316571,2324,256
1764724073.321577,2325,256
1764724073.326563,2326,256
1764724073.331616,2327,256
1764724073.336562,2328,256
1764724073.341614,2329,256
1764724073.346568,2330,256
1764724073.351639,2331,256
1764724073.356620,2332,256
1764724073.361562,2333,256
1764724073.367260,2334,256
1764724073.371580,2335,256
1764724073.376595,2336,256
1764724073.381583,2337,256
1764724073.386576,2338,256
1764724073.391586,2339,256
1764724073.396575,2340,256
1764724073.401574,2341,256
1764724073.406571,2342,256
1764724073.411571,2343,256
1764724073.416587,2344,256
1764724073.421577,2345,256
1764724073.426567,2346,256
1764724073.431701,2347,256
1764724073.436581,2348,256
1764724073.441575,2349,256
1764724073.446591,2350,256
1764724073.451595,2351,256
1764724073.456576,2352,256
1764724073.461581,2353,256
1764724073.466593,2354,256
1764724073.471591,2355,256
1764724073.476590,2356,256
1764724073.481628,2357,256
1764724073.486582,2358,256
1764724073.491584,2359,256
1764724073.496668,2360,256
1764724073.501585,2361,256
1764724073.506589,2362,256
1764724073.511590,2363,256
1764724073.516588,2364,256
1764724073.521579,2365,256
1764724073.526579,2366,256
1764724073.531583,2367,256
1764724073.536583,2368,256
1764724073.541588,2369,256
1764724073.546579,2370,256
1764724073.551580,2371,256
1764724073.556650,2372,256
1764724073.561584,2373,256
1764724073.566588,2374,256
1764724073.571590,2375,256
1764724073.576593,2376,256
1764724073.581593,2377,256
1764724073.586587,2378,256
1764724073.591587,2379,256
1764724073.596590,2380,256
1764724073.601584,2381,256
1764724073.606573,2382,256
1764724073.611587,2383,256
1764724073.616584,2384,256
1764724073.621640,2385,256
1764724073.626629,2386,256
1764724073.631641,2387,256
1764724073.636702,2388,256
1764724073.641627,2389,256
1764724073.646638,2390,256
1764724073.651648,2391,256
1764724073.656663,2392,256
1764724073.661647,2393,256
1764724073.666596,2394,256
1764724073.671657,2395,256
1764724073.676623,2396,256
1764724073.681584,2397,256
1764724073.686587,2398,256
1764724073.691641,2399,256
1764724073.696596,2400,256
1764724073.701587,2401,256
1764724073.706627,2402,256
1764724073.711588,2403,256
1764724073.716584,2404,256
1764724073.721587,2405,256
1764724073.726592,2406,256
1764724073.731591,2407,256
1764724073.736589,2408,256
1764724073.741551,2409,256
1764724073.746631,2410,256
1764724073.751597,2411,256
1764724073.756580,2412,256
1764724073.761583,2413,256
1764724073.766590,2414,256
1764724073.771593,2415,256
1764724073.776635,2416,256
1764724073.781587,2417,256
1764724073.786591,2418,256
1764724073.791611,2419,256
1764724073.796592,2420,256
1764724073.801595,2421,256
1764724073.806593,2422,256
1764724073.811657,2423,256
1764724073.816652,2424,256
1764724073.821641,2425,256
1764724073.826586,2426,256
1764724073.831627,2427,256
1764724073.836600,2428,256
1764724073.841583,2429,256
1764724073.846650,2430,256
1764724073.851653,2431,256
1764724073.856637,2432,256
1764724073.861629,2433,256
1764724073.866597,2434,256
1764724073.871589,2435,256
1764724073.876583,2436,256
1764724073.881630,2437,256
1764724073.886591,2438,256
1764724073.891590,2439,256
1764724073.896593,2440,256
1764724073.901603,2441,256
1764724073.906585,2442,256
1764724073.911594,2443,256
1764724073.916605,2444,256
1764724073.921594,2445,256
1764724073.926592,2446,256
1764724073.931591,2447,256
1764724073.936595,2448,256
1764724073.941597,2449,256
1764724073.946715,2450,256
1764724073.951602,2451,256
1764724073.956642,2452,256
1764724073.961594,2453,256
1764724073.966604,2454,256
1764724073.971595,2455,256
1764724073.976662,2456,256
1764724073.981598,2457,256
1764724073.986607,2458,256
1764724073.991588,2459,256
1764724073.996581,2460,256
1764724074.001587,2461,256
1764724074.006589,2462,256
1764724074.011593,2463,256
1764724074.016584,2464,256
1764724074.021586,2465,256
1764724074.026587,2466,256
1764724074.031599,2467,256
1764724074.036847,2468,256
1764724074.041578,2469,256
1764724074.046606,2470,256
1764724074.051714,2471,256
1764724074.056610,2472,256
1764724074.061620,2473,256
1764724074.066613,2474,256
1764724074.071615,2475,256
1764724074.076638,2476,256
1764724074.081642,2477,256
1764724074.086603,2478,256
1764724074.091624,2479,256
1764724074.096606,2480,256
1764724074.101651,2481,256
1764724074.106589,2482,256
1764724074.111645,2483,256
1764724074.116594,2484,256
1764724074.121632,2485,256
1764724074.126611,2486,256
1764724074.131599,2487,256
1764724074.136603,2488,256
1764724074.141622,2489,256
1764724074.146748,2490,256
1764724074.151734,2491,256
1764724074.156687,2492,256
1764724074.161658,2493,256
1764724074.166653,2494,256
1764724074.171658,2495,256
1764724074.176661,2496,256
1764724074.181641,2497,256
1764724074.186597,2498,256
1764724074.191665,2499,256
1764724074.196722,2500,256
1764724074.201653,2501,256
1764724074.206739,2502,256
1764724074.211646,2503,256
1764724074.216625,2504,256
1764724074.221631,2505,256
1764724074.226722,2506,256
1764724074.231694,2507,256
1764724074.236639,2508,256
1764724074.241633,2509,256
1764724074.246654,2510,256
1764724074.251598,2511,256
1764724074.256670,2512,256
1764724074.261642,2513,256
1764724074.266555,2514,256
1764724074.271592,2515,256
1764724074.276600,2516,256
1764724074.281599,2517,256
1764724074.286591,2518,256
1764724074.291580,2519,256
1764724074.296590,2520,256
1764724074.301594,2521,256
1764724074.306592,2522,256
1764724074.311598,2523,256
1764724074.316631,2524,256
1764724074.321650,2525,256
1764724074.326649,2526,256
1764724074.331610,2527,256
1764724074.336609,2528,256
1764724074.341618,2529,256
1764724074.346640,2530,256
1764724074.351643,2531,256
1764724074.356643,2532,256
1764724074.361768,2533,256
1764724074.366770,2534,256
1764724074.371609,2535,256
1764724074.376665,2536,256
1764724074.381644,2537,256
1764724074.386594,2538,256
1764724074.391601,2539,256
1764724074.396602,2540,256
1764724074.401638,2541,256
1764724074.406638,2542,256
1764724074.411705,2543,256
1764724074.416653,2544,256
1764724074.421769,2545,256
1764724074.426703,2546,256
1764724074.431703,2547,256
1764724074.436650,2548,256
1764724074.441701,2549,256
1764724074.446707,2550,256
1764724074.451645,2551,256
1764724074.456734,2552,256
1764724074.461677,2553,256
1764724074.466687,2554,256
1764724074.471693,2555,256
1764724074.476657,2556,256
1764724074.481678,2557,256
1764724074.486679,2558,256
1764724074.491600,2559,256
1764724074.496669,2560,256
1764724074.501611,2561,256
1764724074.506613,2562,256
1764724074.511625,2563,256
1764724074.516609,2564,256
1764724074.521601,2565,256
1764724074.526640,2566,256
1764724074.531604,2567,256
1764724074.536610,2568,256
1764724074.541616,2569,256
1764724074.546639,2570,256
1764724074.551620,2571,256
1764724074.556628,2572,256
1764724074.561601,2573,256
1764724074.566624,2574,256
1764724074.571617,2575,256
1764724074.576607,2576,256
1764724074.581626,2577,256
1764724074.586615,2578,256
1764724074.591610,2579,256
1764724074.596607,2580,256
1764724074.601619,2581,256
1764724074.606599,2582,256
1764724074.611615,2583,256
1764724074.616613,2584,256
1764724074.621600,2585,256
1764724074.626607,2586,256
1764724074.631604,2587,256
1764724074.636617,2588,256
1764724074.641603,2589,256
1764724074.646705,2590,256
1764724074.651624,2591,256
1764724074.656598,2592,256
1764724074.661609,2593,256
1764724074.666610,2594,256
1764724074.671625,2595,256
1764724074.676664,2596,256
1764724074.681660,2597,256
1764724074.686615,2598,256
1764724074.691598,2599,256
1764724074.696673,2600,256
1764724074.701662,2601,256
1764724074.706606,2602,256
1764724074.711644,2603,256
1764724074.716634,2604,256
1764724074.721603,2605,256
1764724074.726642,2606,256
1764724074.731601,2607,256
1764724074.736625,2608,256
1764724074.741653,2609,256
1764724074.746665,2610,256
1764724074.751618,2611,256
1764724074.756608,2612,256
1764724074.761624,2613,256
1764724074.766623,2614,256
1764724074.771610,2615,256
1764724074.776626,2616,256
1764724074.781611,2617,256
1764724074.786671,2618,256
1764724074.791611,2619,256
1764724074.796665,2620,256
1764724074.801617,2621,256
1764724074.806710,2622,256
1764724074.811698,2623,256
1764724074.816622,2624,256
1764724074.821616,2625,256
1764724074.826671,2626,256
1764724074.831630,2627,256
1764724074.836629,2628,256
1764724074.841621,2629,256
1764724074.846629,2630,256
1764724074.851622,2631,256
1764724074.856614,2632,256
1764724074.861609,2633,256
1764724074.866618,2634,256
1764724074.871622,2635,256
1764724074.876620,2636,256
1764724074.881615,2637,256
1764724074.886612,2638,256
1764724074.891613,2639,256
1764724074.896624,2640,256
1764724074.901614,2641,256
1764724074.906621,2642,256
1764724074.911615,2643,256
1764724074.916671,2644,256
1764724074.921617,2645,256
1764724074.926657,2646,256
1764724074.931617,2647,256
1764724074.936673,2648,256
1764724074.941616,2649,256
1764724074.946611,2650,256
1764724074.951612,2651,256
1764724074.956604,2652,256
1764724074.961640,2653,256
1764724074.966621,2654,256
1764724074.971621,2655,256
1764724074.976619,2656,256
1764724074.981627,2657,256
1764724074.986618,2658,256
1764724074.991663,2659,256
1764724074.996654,2660,256
1764724075.001613,2661,256
1764724075.006620,2662,256
1764724075.011616,2663,256
1764724075.016605,2664,256
1764724075.021611,2665,256
1764724075.026619,2666,256
1764724075.031612,2667,256
1764724075.036621,2668,256
1764724075.041607,2669,256
1764724075.046621,2670,256
1764724075.051607,2671,256
1764724075.056614,2672,256
1764724075.061634,2673,256
1764724075.066624,2674,256
1764724075.071615,2675,256
1764724075.076626,2676,256
1764724075.081609,2677,256
1764724075.086613,2678,256
1764724075.091610,2679,256
1764724075.096660,2680,256
1764724075.101612,2681,256
1764724075.106612,2682,256
1764724075.111597,2683,256
1764724075.116578,2684,256
1764724075.121605,2685,256
1764724075.126604,2686,256
1764724075.131606,2687,256
1764724075.136621,2688,256
1764724075.141629,2689,256
1764724075.146618,2690,256
1764724075.151618,2691,256
1764724075.156621,2692,256
1764724075.161623,2693,256
1764724075.166638,2694,256
1764724075.171624,2695,256
1764724075.176620,2696,256
1764724075.181616,2697,256
1764724075.186631,2698,256
1764724075.191610,2699,256
1764724075.196615,2700,256
1764724075.201607,2701,256
1764724075.206602,2702,256
1764724075.211605,2703,256
1764724075.216644,2704,256
1764724075.221605,2705,256
1764724075.226615,2706,256
1764724075.231604,2707,256
1764724075.236612,2708,256
1764724075.241607,2709,256
1764724075.246611,2710,256
1764724075.251616,2711,256
1764724075.256614,2712,256
1764724075.261630,2713,256
1764724075.266642,2714,256
1764724075.271646,2715,256
1764724075.276632,2716,256
1764724075.281628,2717,256
1764724075.286624,2718,256
1764724075.291635,2719,256
1764724075.296625,2720,256
1764724075.301614,2721,256
1764724075.306631,2722,256
1764724075.311630,2723,256
1764724075.316677,2724,256
1764724075.321695,2725,256
1764724075.326630,2726,256
1764724075.331669,2727,256
1764724075.336632,2728,256
1764724075.341625,2729,256
1764724075.346632,2730,256
1764724075.351686,2731,256
1764724075.356625,2732,256
1764724075.361626,2733,256
1764724075.366624,2734,256
1764724075.371637,2735,256
1764724075.376694,2736,256
1764724075.381696,2737,256
