t,backlog_bytes,backlog_pkts,dropped_total
0.005294,0,0,0
0.212098,1490,5,0
0.416000,1490,5,0
0.619318,1788,6,0
0.823001,1731,6,0
1.028558,1490,5,0
1.233777,1490,5,0
1.437587,1490,5,0
1.641920,1490,5,0
1.847524,1490,5,0
2.052207,1490,5,0
2.258160,1490,5,0
2.464173,1490,5,0
2.670087,1490,5,0
2.876458,1490,5,0
3.081590,1788,6,0
3.285837,1490,5,0
3.491446,1788,6,0
3.695956,1490,5,0
3.901046,1490,5,0
4.105158,1490,5,0
4.310679,1490,5,0
4.516194,1490,5,0
4.720883,1490,5,0
4.927321,1490,5,0
5.131536,1788,6,0
5.336876,1490,5,0
5.542009,1490,5,0
5.747233,1490,5,0
5.952455,1490,5,0
6.156152,1490,5,0
6.360566,1490,5,0
6.567180,1490,5,0
6.773804,1490,5,0
6.979312,1490,5,0
7.184539,1788,6,0
7.390611,1490,5,0
7.596037,1490,5,0
7.800548,1490,5,0
8.006722,1490,5,0
8.211485,1788,6,0
8.416913,1490,5,0
8.621876,1490,5,0
8.827112,1490,5,0
9.031445,1788,6,0
9.235746,1490,5,0
9.441879,1490,5,0
9.645882,1490,5,0
9.848414,1490,5,0
10.052817,1490,5,0
10.257682,1490,5,0
10.462477,1490,5,0
10.667717,1490,5,0
10.872914,1490,5,0
11.077701,1490,5,0
11.281672,1788,6,0
11.486238,1490,5,0
11.692343,1490,5,0
11.896317,1490,5,0
12.101979,1490,5,0
12.308177,1490,5,0
12.514600,1788,6,0
12.718367,1490,5,0
12.923303,1490,5,0
13.128606,1788,6,0
13.334377,1490,5,0
13.538615,1490,5,0
13.744414,1788,6,0
13.949532,1788,6,0
14.156028,1490,5,0
14.361139,1490,5,0
14.566814,1490,5,0
14.773423,1490,5,0
14.977021,1490,5,0
15.182516,1490,5,0
15.386489,1490,5,0
15.591661,1788,6,0
15.796713,1490,5,0
16.003649,1490,5,0
16.210355,1490,5,0
16.414526,2652,7,0
16.620461,1490,5,0
16.825708,1490,5,0
17.030451,1490,5,0
17.234391,1788,6,0
17.440269,1490,5,0
17.644539,1788,6,0
17.849305,1490,5,0
18.053905,1490,5,0
18.258714,1490,5,0
18.463505,1490,5,0
18.667472,1490,5,0
18.871460,1788,6,0
19.076410,1490,5,0
19.282847,1490,5,0
19.487920,1490,5,0
19.692743,1490,5,0
19.897928,1788,6,0
20.103763,1490,5,0
20.310902,1490,5,0
20.515481,1788,6,0
20.719825,1788,6,0
20.923646,1490,5,0
21.130177,1490,5,0
21.336239,1490,5,0
21.542799,1490,5,0
21.748641,1490,5,0
21.953929,1490,5,0
22.159748,1788,6,0
22.366265,1490,5,0
22.571419,1788,6,0
22.778463,1788,6,0
22.984809,2086,7,0
23.189767,1490,5,0
23.396333,1490,5,0
23.601417,1788,6,0
23.806706,1490,5,0
24.012748,1490,5,0
24.217242,1490,5,0
24.424075,1490,5,0
24.630054,1788,6,0
24.836246,1490,5,0
25.040540,1490,5,0
25.246382,0,0,0
25.451324,0,0,0
25.656187,0,0,0
25.860760,0,0,0
26.065734,0,0,0
26.269398,0,0,0
26.475210,0,0,0
26.680052,0,0,0
26.885470,0,0,0
