t,backlog_bytes,backlog_pkts,dropped_total
0.004276,0,0,0
0.211312,596,2,0
0.414715,298,1,0
0.618675,596,2,0
0.822673,596,2,0
1.027291,596,2,0
1.232450,596,2,0
1.436738,596,2,0
1.642177,596,2,0
1.847387,596,2,0
2.052190,596,2,0
2.257152,596,2,0
2.463476,596,2,0
2.669954,894,3,0
2.875957,596,2,0
3.080720,596,2,0
3.284998,596,2,0
3.490046,596,2,0
3.695179,596,2,0
3.900296,596,2,0
4.105638,596,2,0
4.310230,596,2,0
4.515326,596,2,0
4.720200,596,2,0
4.926569,596,2,0
5.131011,596,2,0
5.336219,596,2,0
5.541360,596,2,0
5.746743,596,2,0
5.951967,596,2,0
6.155060,596,2,0
6.360117,596,2,0
6.566740,596,2,0
6.773121,596,2,0
6.978582,596,2,0
7.183996,596,2,0
7.390132,596,2,0
7.595497,596,2,0
7.800390,596,2,0
8.006316,596,2,0
8.210836,596,2,0
8.416492,596,2,0
8.621993,596,2,0
8.826627,596,2,0
9.030027,596,2,0
9.235240,894,3,0
9.440042,596,2,0
9.644365,596,2,0
9.847222,596,2,0
10.051418,596,2,0
10.256364,596,2,0
10.462026,596,2,0
10.667209,596,2,0
10.873097,596,2,0
11.078711,596,2,0
11.282948,596,2,0
11.487767,596,2,0
11.693926,596,2,0
11.897531,596,2,0
12.101658,596,2,0
12.307651,596,2,0
12.513058,596,2,0
12.717915,596,2,0
12.923491,596,2,0
13.128073,596,2,0
13.333686,596,2,0
13.537742,596,2,0
13.742872,596,2,0
13.949673,596,2,0
14.155600,596,2,0
14.360440,596,2,0
14.566284,596,2,0
14.772633,596,2,0
14.976659,596,2,0
15.180895,596,2,0
15.385821,596,2,0
15.592274,596,2,0
15.796944,596,2,0
16.002975,596,2,0
16.209673,596,2,0
16.413989,596,2,0
16.619599,596,2,0
16.824739,596,2,0
17.029154,596,2,0
17.233862,596,2,0
17.438883,596,2,0
17.644290,596,2,0
17.848442,596,2,0
18.053023,596,2,0
18.257994,596,2,0
18.462567,596,2,0
18.667387,596,2,0
18.871711,596,2,0
19.076923,596,2,0
19.282169,596,2,0
19.487204,596,2,0
19.692217,596,2,0
19.896961,596,2,0
20.103047,596,2,0
20.312550,596,2,0
20.516793,596,2,0
20.720324,596,2,0
20.923529,596,2,0
21.129723,596,2,0
21.335574,894,3,0
21.541756,596,2,0
21.747586,596,2,0
21.953527,596,2,0
22.158775,596,2,0
22.365598,596,2,0
22.570987,596,2,0
22.778041,596,2,0
22.984272,596,2,0
23.189952,596,2,0
23.395267,894,3,0
23.600708,596,2,0
23.806049,596,2,0
24.012029,596,2,0
24.217036,596,2,0
24.423245,596,2,0
24.629271,596,2,0
24.835015,596,2,0
25.040012,894,3,0
25.245888,0,0,0
25.449681,0,0,0
25.655468,0,0,0
25.860064,0,0,0
26.065057,0,0,0
26.268725,0,0,0
26.473766,0,0,0
26.679797,0,0,0
26.885948,0,0,0
