t,backlog_bytes,backlog_pkts,dropped_total
0.030955,0,0,0
0.234870,894,3,0
0.438917,596,2,0
0.643071,596,2,0
0.846744,596,2,0
1.050070,799,3,0
1.253373,596,2,0
1.459576,894,3,0
1.665411,596,2,0
1.871830,596,2,0
2.080034,596,2,0
2.283820,596,2,0
2.488161,596,2,0
2.696210,596,2,0
2.900323,596,2,0
3.105232,596,2,0
3.322259,596,2,0
3.525919,596,2,0
3.729865,596,2,0
3.933405,596,2,0
4.136475,596,2,0
4.343476,596,2,0
4.549147,894,3,0
4.755163,596,2,0
4.960548,596,2,0
5.167028,596,2,0
5.372237,596,2,0
5.584921,894,3,0
5.788292,596,2,0
5.990636,596,2,0
6.194308,596,2,0
6.398791,596,2,0
6.602410,596,2,0
6.810971,596,2,0
7.013902,596,2,0
7.217366,596,2,0
7.423414,596,2,0
7.631019,596,2,0
7.837901,596,2,0
8.041689,596,2,0
8.247544,596,2,0
8.453007,596,2,0
8.658852,596,2,0
8.864048,596,2,0
9.075519,596,2,0
9.278707,596,2,0
9.481749,596,2,0
9.686945,596,2,0
9.893047,596,2,0
10.100405,596,2,0
10.303922,596,2,0
10.510467,596,2,0
10.716972,596,2,0
10.922428,596,2,0
11.130191,596,2,0
11.337805,596,2,0
11.540867,596,2,0
11.744254,596,2,0
11.949533,894,3,0
12.156765,596,2,0
12.364691,894,3,0
12.572327,596,2,0
12.775729,596,2,0
12.979044,596,2,0
13.184084,596,2,0
13.392490,596,2,0
13.597167,596,2,0
13.799979,596,2,0
14.004674,894,3,0
14.211947,596,2,0
14.417535,596,2,0
14.643372,596,2,0
14.847803,596,2,0
15.051713,596,2,0
15.256554,596,2,0
15.461459,596,2,0
15.666487,596,2,0
15.872069,596,2,0
16.078110,596,2,0
16.282940,596,2,0
16.488019,596,2,0
16.693239,596,2,0
16.899323,596,2,0
17.102555,596,2,0
17.308985,596,2,0
17.513014,596,2,0
17.718371,596,2,0
17.922837,596,2,0
18.127714,596,2,0
18.333136,596,2,0
18.537472,596,2,0
18.742073,596,2,0
18.944888,596,2,0
19.160751,596,2,0
19.369617,596,2,0
19.582638,596,2,0
19.787047,596,2,0
19.991846,596,2,0
20.196759,596,2,0
20.401695,596,2,0
20.606169,596,2,0
20.811108,596,2,0
21.016403,596,2,0
21.222171,596,2,0
21.427539,596,2,0
21.632742,596,2,0
21.839592,596,2,0
22.044807,596,2,0
22.250854,596,2,0
22.456748,596,2,0
22.661960,596,2,0
22.867486,596,2,0
23.074154,596,2,0
23.279796,596,2,0
23.485384,894,3,0
23.690892,596,2,0
23.896134,596,2,0
24.101154,596,2,0
24.306639,596,2,0
24.511788,596,2,0
24.716936,596,2,0
24.921545,596,2,0
25.127598,0,0,0
25.333561,0,0,0
25.539917,0,0,0
25.745933,0,0,0
25.952014,0,0,0
26.157139,0,0,0
26.361371,0,0,0
26.565767,0,0,0
26.770633,0,0,0
26.975877,0,0,0
