t_recv,seq,bytes,t_send,latency_ms
1764871076.656466,54,256,1764871076.635456,21.010
1764871076.659775,55,256,1764871076.638782,20.993
1764871076.662989,56,256,1764871076.642013,20.976
1764871076.666436,57,256,1764871076.645342,21.094
1764871076.669554,58,256,1764871076.648684,20.871
1764871076.673011,59,256,1764871076.652092,20.919
1764871076.676420,60,256,1764871076.655435,20.985
1764871076.679739,61,256,1764871076.658780,20.959
1764871076.683058,62,256,1764871076.662099,20.959
1764871076.686430,63,256,1764871076.665459,20.971
1764871076.689719,64,256,1764871076.668781,20.938
1764871076.692952,65,256,1764871076.672001,20.951
1764871076.696324,66,256,1764871076.675393,20.931
1764871076.699599,67,256,1764871076.678699,20.900
1764871076.702921,68,256,1764871076.681998,20.923
1764871076.706310,69,256,1764871076.685348,20.962
1764871076.709581,70,256,1764871076.688679,20.903
1764871076.713012,71,256,1764871076.692045,20.967
1764871076.716403,72,256,1764871076.695381,21.022
1764871076.719604,73,256,1764871076.698702,20.902
1764871076.722905,74,256,1764871076.701996,20.910
1764871076.726441,75,256,1764871076.705450,20.991
1764871076.729758,76,256,1764871076.708714,21.044
1764871076.732944,77,256,1764871076.712010,20.934
1764871076.736413,78,256,1764871076.715444,20.969
1764871076.739784,79,256,1764871076.718783,21.000
1764871076.742969,80,256,1764871076.722029,20.940
1764871076.746392,81,256,1764871076.725447,20.945
1764871076.749778,82,256,1764871076.728809,20.969
1764871076.753063,83,256,1764871076.732121,20.942
1764871076.756435,84,256,1764871076.735440,20.994
1764871076.760013,85,256,1764871076.738791,21.222
1764871076.763066,86,256,1764871076.742120,20.945
1764871076.766904,87,256,1764871076.745454,21.451
1764871076.769798,88,256,1764871076.748790,21.007
1764871076.773072,89,256,1764871076.752115,20.957
1764871076.777307,90,256,1764871076.755467,21.840
1764871076.779695,91,256,1764871076.758783,20.912
1764871076.782971,92,256,1764871076.762029,20.942
1764871076.786276,93,256,1764871076.765340,20.936
1764871076.789701,94,256,1764871076.768761,20.940
1764871076.792943,95,256,1764871076.772009,20.934
1764871076.796396,96,256,1764871076.775422,20.975
1764871076.799661,97,256,1764871076.778718,20.944
1764871076.802969,98,256,1764871076.782005,20.964
1764871076.806247,99,256,1764871076.785349,20.898
1764871076.809601,100,256,1764871076.788733,20.868
1764871076.812895,101,256,1764871076.792053,20.842
1764871076.816253,102,256,1764871076.795388,20.865
1764871076.819618,103,256,1764871076.798759,20.858
1764871076.822980,104,256,1764871076.802057,20.924
1764871076.826232,105,256,1764871076.805341,20.890
1764871076.829573,106,256,1764871076.808710,20.863
1764871076.832889,107,256,1764871076.811994,20.895
1764871076.836273,108,256,1764871076.815366,20.907
1764871076.839611,109,256,1764871076.818663,20.948
1764871076.842956,110,256,1764871076.821994,20.962
1764871076.846299,111,256,1764871076.825340,20.960
1764871076.849684,112,256,1764871076.828693,20.991
1764871076.852966,113,256,1764871076.831997,20.968
1764871076.856343,114,256,1764871076.835339,21.004
1764871076.859710,115,256,1764871076.838756,20.954
1764871076.863017,116,256,1764871076.842014,21.003
1764871076.866498,117,256,1764871076.845394,21.104
1764871076.869706,118,256,1764871076.848736,20.970
1764871076.873056,119,256,1764871076.852078,20.977
1764871076.876429,120,256,1764871076.855422,21.007
1764871076.879782,121,256,1764871076.858786,20.996
1764871076.882995,122,256,1764871076.861999,20.996
1764871076.886256,123,256,1764871076.865370,20.887
1764871076.889725,124,256,1764871076.868784,20.941
1764871076.892981,125,256,1764871076.872020,20.961
1764871076.896301,126,256,1764871076.875336,20.965
1764871076.899568,127,256,1764871076.878687,20.881
1764871076.903006,128,256,1764871076.882013,20.993
1764871076.906454,129,256,1764871076.885421,21.033
1764871076.909715,130,256,1764871076.888683,21.032
1764871076.913022,131,256,1764871076.892063,20.959
1764871076.916417,132,256,1764871076.895377,21.040
1764871076.919911,133,256,1764871076.898845,21.066
1764871076.922974,134,256,1764871076.902033,20.941
1764871076.926448,135,256,1764871076.905454,20.994
1764871076.929798,136,256,1764871076.908787,21.010
1764871076.933174,137,256,1764871076.912122,21.051
1764871076.936474,138,256,1764871076.915452,21.023
1764871076.939798,139,256,1764871076.918780,21.019
1764871076.943331,140,256,1764871076.922135,21.196
1764871076.946841,141,256,1764871076.925475,21.366
1764871076.949765,142,256,1764871076.928783,20.982
1764871076.953126,143,256,1764871076.932124,21.002
1764871076.956412,144,256,1764871076.935460,20.952
1764871076.959774,145,256,1764871076.938789,20.985
1764871076.963088,146,256,1764871076.942127,20.961
1764871076.966410,147,256,1764871076.945441,20.970
1764871076.969652,148,256,1764871076.948703,20.949
1764871076.972942,149,256,1764871076.952013,20.929
1764871076.976742,150,256,1764871076.955458,21.284
1764871076.979727,151,256,1764871076.958786,20.941
1764871076.982910,152,256,1764871076.962015,20.895
1764871076.986292,153,256,1764871076.965344,20.948
1764871076.989570,154,256,1764871076.968684,20.886
1764871076.993012,155,256,1764871076.972111,20.901
1764871076.996215,156,256,1764871076.975331,20.884
1764871076.999592,157,256,1764871076.978683,20.910
1764871077.003004,158,256,1764871076.982104,20.900
1764871077.006393,159,256,1764871076.985459,20.935
1764871077.009577,160,256,1764871076.988697,20.879
1764871077.012909,161,256,1764871076.992009,20.900
1764871077.016401,162,256,1764871076.995471,20.930
1764871077.019708,163,256,1764871076.998778,20.931
1764871077.022974,164,256,1764871077.002121,20.853
1764871077.026347,165,256,1764871077.005466,20.881
1764871077.029679,166,256,1764871077.008793,20.887
1764871077.032910,167,256,1764871077.012039,20.871
1764871077.036719,168,256,1764871077.015428,21.291
1764871077.039619,169,256,1764871077.018758,20.862
1764871077.042966,170,256,1764871077.022102,20.864
1764871077.046728,171,256,1764871077.025436,21.292
1764871077.049678,172,256,1764871077.028765,20.913
1764871077.052875,173,256,1764871077.032012,20.863
1764871077.056753,174,256,1764871077.035435,21.317
1764871077.059713,175,256,1764871077.038776,20.937
1764871077.063015,176,256,1764871077.042032,20.983
1764871077.066761,177,256,1764871077.045455,21.306
1764871077.069735,178,256,1764871077.048781,20.954
1764871077.072975,179,256,1764871077.052042,20.932
1764871077.076748,180,256,1764871077.055449,21.299
1764871077.080064,181,256,1764871077.058792,21.272
1764871077.082917,182,256,1764871077.062013,20.905
1764871077.086296,183,256,1764871077.065380,20.916
1764871077.089733,184,256,1764871077.068776,20.957
1764871077.092992,185,256,1764871077.072029,20.963
1764871077.096301,186,256,1764871077.075365,20.935
1764871077.099756,187,256,1764871077.078780,20.975
1764871077.102974,188,256,1764871077.082009,20.966
1764871077.106322,189,256,1764871077.085369,20.953
1764871077.109615,190,256,1764871077.088692,20.923
1764871077.112978,191,256,1764871077.092030,20.948
1764871077.116443,192,256,1764871077.095456,20.987
1764871077.119746,193,256,1764871077.098782,20.964
1764871077.123009,194,256,1764871077.102037,20.972
1764871077.126404,195,256,1764871077.105459,20.945
1764871077.129764,196,256,1764871077.108788,20.977
1764871077.132992,197,256,1764871077.112015,20.976
1764871077.136353,198,256,1764871077.115361,20.992
1764871077.139784,199,256,1764871077.118780,21.004
1764871077.143008,200,256,1764871077.122092,20.916
1764871077.146377,201,256,1764871077.125377,21.001
1764871077.149783,202,256,1764871077.128789,20.994
1764871077.153016,203,256,1764871077.132016,20.999
1764871077.156252,204,256,1764871077.135337,20.916
1764871077.159532,205,256,1764871077.138677,20.855
1764871077.162960,206,256,1764871077.142017,20.944
1764871077.166348,207,256,1764871077.145374,20.974
1764871077.169754,208,256,1764871077.148781,20.972
1764871077.173006,209,256,1764871077.152041,20.965
1764871077.176400,210,256,1764871077.155442,20.958
1764871077.179712,211,256,1764871077.158773,20.939
1764871077.182975,212,256,1764871077.162041,20.933
1764871077.186398,213,256,1764871077.165452,20.947
1764871077.189732,214,256,1764871077.168778,20.954
1764871077.193149,215,256,1764871077.172023,21.126
1764871077.196531,216,256,1764871077.175455,21.075
1764871077.199732,217,256,1764871077.178785,20.947
1764871077.203006,218,256,1764871077.182038,20.968
1764871077.206815,219,256,1764871077.185453,21.362
1764871077.209752,220,256,1764871077.188788,20.964
1764871077.212951,221,256,1764871077.192023,20.927
1764871077.216461,222,256,1764871077.195485,20.976
1764871077.219679,223,256,1764871077.198685,20.993
1764871077.222862,224,256,1764871077.202000,20.862
1764871077.226376,225,256,1764871077.205450,20.926
1764871077.229739,226,256,1764871077.208753,20.987
1764871077.232929,227,256,1764871077.212054,20.875
1764871077.236284,228,256,1764871077.215357,20.928
1764871077.239590,229,256,1764871077.218715,20.875
1764871077.242936,230,256,1764871077.222031,20.905
1764871077.246264,231,256,1764871077.225342,20.922
1764871077.249645,232,256,1764871077.228712,20.933
1764871077.252953,233,256,1764871077.232007,20.946
1764871077.256306,234,256,1764871077.235363,20.943
1764871077.259581,235,256,1764871077.238671,20.910
1764871077.262881,236,256,1764871077.241993,20.888
1764871077.266320,237,256,1764871077.245340,20.980
1764871077.269671,238,256,1764871077.248766,20.905
1764871077.273161,239,256,1764871077.252033,21.128
1764871077.276436,240,256,1764871077.255462,20.974
1764871077.279815,241,256,1764871077.258780,21.035
1764871077.283145,242,256,1764871077.262127,21.019
1764871077.286450,243,256,1764871077.265457,20.993
1764871077.289718,244,256,1764871077.268779,20.938
1764871077.293304,245,256,1764871077.272037,21.268
1764871077.296268,246,256,1764871077.275365,20.903
1764871077.299752,247,256,1764871077.278781,20.971
