t,backlog_bytes,backlog_pkts,dropped_total
0.022307,0,0,0
0.227781,0,0,0
0.432356,596,2,0
0.636163,596,2,0
0.839563,298,1,0
1.042392,596,2,0
1.245842,596,2,0
1.452398,1192,4,0
1.660961,894,3,0
1.870449,894,3,0
2.076873,298,1,0
2.282591,596,2,0
2.487495,0,0,0
2.690984,298,1,0
2.895468,596,2,0
3.105011,298,1,0
3.310097,596,2,0
3.513263,298,1,0
3.720454,596,2,0
3.931252,0,0,0
4.138640,298,1,0
4.350178,1192,4,0
4.556832,298,1,0
4.762323,894,3,0
4.968964,596,2,0
5.173393,0,0,0
5.379512,298,1,0
5.587015,298,1,0
5.793529,894,3,0
5.999091,596,2,0
6.204710,894,3,0
6.409489,298,1,0
6.614438,298,1,0
6.820034,596,2,0
7.025010,1192,4,0
7.232467,298,1,0
7.439837,298,1,0
7.646527,298,1,0
7.851388,298,1,0
8.057836,596,2,0
8.264118,0,0,0
8.468878,0,0,0
8.674541,0,0,0
8.877322,0,0,0
9.082451,298,1,0
9.286934,298,1,0
9.491610,596,2,0
9.695876,298,1,0
9.903491,596,2,0
10.113328,298,1,0
10.317787,1192,4,0
10.521340,1192,4,0
10.735669,894,3,0
10.940871,298,1,0
11.151046,2086,7,0
11.358186,894,3,0
11.564074,298,1,0
11.770319,596,2,0
11.980153,894,3,0
12.185534,894,3,0
12.391214,298,1,0
12.597329,894,3,0
12.801848,1192,4,0
13.004774,596,2,0
13.224451,596,2,0
13.430562,0,0,0
13.637466,298,1,0
13.842357,298,1,0
14.048131,0,0,0
14.253379,1490,5,0
14.458317,596,2,0
14.664967,596,2,0
14.870247,596,2,0
15.075733,894,3,0
15.281181,596,2,0
15.486125,596,2,0
15.693711,298,1,0
15.898402,894,3,0
16.103684,596,2,0
16.308304,1490,5,0
16.514433,0,0,0
16.718717,596,2,0
16.921321,298,1,0
17.127319,894,3,0
17.332098,596,2,0
17.539774,298,1,0
17.748452,894,3,0
17.951732,894,3,0
18.156360,596,2,0
18.360038,894,3,0
18.564727,298,1,0
18.771905,596,2,0
18.983344,0,0,0
19.189847,298,1,0
19.397624,596,2,0
19.601974,298,1,0
19.807821,298,1,0
20.010684,1490,5,0
20.216045,1192,4,0
20.425064,894,3,0
20.630901,298,1,0
20.835214,1192,4,0
21.042172,894,3,0
21.248100,298,1,0
21.452234,298,1,0
21.659245,298,1,0
21.864870,1192,4,0
22.069649,1490,5,0
22.276512,298,1,0
22.484431,894,3,0
22.691271,596,2,0
22.898485,298,1,0
23.104191,596,2,0
23.310487,596,2,0
23.515457,894,3,0
23.720438,1192,4,0
23.927698,298,1,0
24.135739,1490,5,0
24.343395,1192,4,0
24.548887,894,3,0
24.755985,894,3,0
24.963038,298,1,0
25.169232,0,0,0
25.375714,0,0,0
25.579854,0,0,0
25.786647,0,0,0
25.992921,0,0,0
26.199076,0,0,0
26.405284,0,0,0
26.611377,0,0,0
26.817261,0,0,0
