t,backlog_bytes,backlog_pkts,dropped_total
0.036280,0,0,0
0.240531,596,2,0
0.453313,894,3,0
0.668928,596,2,0
0.881001,596,2,0
1.097004,2384,8,0
1.310796,0,0,0
1.521130,298,1,0
1.732065,1788,6,0
1.943584,894,3,0
2.153882,1490,5,0
2.364658,2384,8,0
2.577835,596,2,0
2.790579,298,1,0
3.003370,894,3,0
3.215790,0,0,0
3.427400,894,3,0
3.639829,1192,4,0
3.852841,894,3,0
4.064196,596,2,0
4.277336,298,1,0
4.489185,596,2,0
4.701133,596,2,0
4.912529,596,2,0
5.126041,298,1,0
5.337217,1192,4,0
5.550395,596,2,0
5.762141,596,2,0
5.973927,596,2,0
6.185696,0,0,0
6.398371,894,3,0
6.608494,894,3,0
6.820143,596,2,0
7.031739,596,2,0
7.244350,1490,5,0
7.456371,894,3,0
7.668427,894,3,0
7.880881,1490,5,0
8.094486,894,3,0
8.306341,894,3,0
8.518610,2384,8,0
8.731966,596,2,0
8.943116,2086,7,0
9.154203,596,2,0
9.365952,894,3,0
9.576287,1490,5,0
9.789568,0,0,0
10.000961,0,0,0
10.212566,298,1,0
10.424669,596,2,0
10.636092,1490,5,0
10.848104,596,2,0
11.060076,298,1,0
11.273593,596,2,0
11.485085,894,3,0
11.696426,894,3,0
11.907951,1788,6,0
12.120579,596,2,0
12.332202,596,2,0
12.544349,894,3,0
12.755336,1192,4,0
12.968074,1490,5,0
13.181850,1490,5,0
13.392813,298,1,0
13.605407,894,3,0
13.817056,1490,5,0
14.027233,894,3,0
14.239704,1490,5,0
14.451681,596,2,0
14.664466,596,2,0
14.876986,894,3,0
15.089239,894,3,0
15.300009,298,1,0
15.512504,1192,4,0
15.725863,298,1,0
15.937202,2086,7,0
16.149709,0,0,0
16.361254,0,0,0
16.574458,298,1,0
16.787346,596,2,0
16.999102,298,1,0
17.212340,894,3,0
17.423347,596,2,0
17.635469,894,3,0
17.847308,894,3,0
18.059342,1490,5,0
18.272009,298,1,0
18.483480,1490,5,0
18.694819,298,1,0
18.906392,1192,4,0
19.118089,298,1,0
19.330379,1490,5,0
19.542137,1192,4,0
19.753462,596,2,0
19.965962,298,1,0
20.178139,894,3,0
20.390699,1192,4,0
20.602622,298,1,0
20.814107,894,3,0
21.026861,298,1,0
21.238842,596,2,0
21.451078,596,2,0
21.663259,596,2,0
21.874681,596,2,0
22.085765,894,3,0
22.297889,596,2,0
22.509545,1490,5,0
22.721734,298,1,0
22.932646,1192,4,0
23.143191,1192,4,0
23.355130,1192,4,0
23.565829,298,1,0
23.778593,1192,4,0
23.990989,596,2,0
24.204302,894,3,0
24.415546,298,1,0
24.627380,298,1,0
24.839431,298,1,0
25.049423,596,2,0
25.262797,0,0,0
25.476528,0,0,0
25.689940,0,0,0
25.902866,0,0,0
26.115790,0,0,0
26.328716,0,0,0
26.542203,0,0,0
26.755283,0,0,0
26.969515,0,0,0
27.181975,0,0,0
27.394769,0,0,0
27.622730,0,0,0
27.836268,0,0,0
28.049982,0,0,0
28.266880,0,0,0
28.475934,0,0,0
28.692534,0,0,0
28.904132,0,0,0
29.122178,0,0,0
29.333812,0,0,0
29.549303,0,0,0
29.761751,0,0,0
29.973783,0,0,0
30.193018,0,0,0
30.403830,0,0,0
30.614968,0,0,0
30.826199,0,0,0
31.043935,0,0,0
31.252986,0,0,0
31.463831,0,0,0
31.679007,0,0,0
31.895331,0,0,0
32.104950,0,0,0
32.315557,0,0,0
32.526366,0,0,0
32.738349,0,0,0
32.951452,0,0,0
33.161337,0,0,0
33.370654,0,0,0
33.582280,0,0,0
33.791951,0,0,0
34.005905,0,0,0
34.221221,0,0,0
34.433554,0,0,0
34.646474,0,0,0
34.857613,0,0,0
