t_recv,seq,bytes,t_send,latency_ms
1764723754.190102,1,256,1764723754.157306,32.795
1764723754.193864,2,256,1764723754.162373,31.491
1764723754.199097,3,256,1764723754.167368,31.729
1764723754.203904,4,256,1764723754.172370,31.533
1764723754.209178,5,256,1764723754.177373,31.805
1764723754.214018,6,256,1764723754.182403,31.615
1764723754.219235,7,256,1764723754.187416,31.819
1764723754.223897,8,256,1764723754.192251,31.646
1764723754.229241,9,256,1764723754.197342,31.899
1764723754.233765,10,256,1764723754.202242,31.523
1764723754.239048,11,256,1764723754.207340,31.708
1764723754.243809,12,256,1764723754.212344,31.465
1764723754.249083,13,256,1764723754.217309,31.774
1764723754.253860,14,256,1764723754.222359,31.501
1764723754.259087,15,256,1764723754.227289,31.798
1764723754.263822,16,256,1764723754.232244,31.577
1764723754.269172,17,256,1764723754.237388,31.784
1764723754.273907,18,256,1764723754.242353,31.554
1764723754.279150,19,256,1764723754.247373,31.777
1764723754.283981,20,256,1764723754.252401,31.580
1764723754.289078,21,256,1764723754.257406,31.672
1764723754.293698,22,256,1764723754.262267,31.431
1764723754.299015,23,256,1764723754.267406,31.610
1764723754.303668,24,256,1764723754.272254,31.414
1764723754.308960,25,256,1764723754.277236,31.724
1764723754.313667,26,256,1764723754.282243,31.424
1764723754.318991,27,256,1764723754.287401,31.590
1764723754.323723,28,256,1764723754.292258,31.465
1764723754.329045,29,256,1764723754.297409,31.636
1764723754.333799,30,256,1764723754.302342,31.457
1764723754.339034,31,256,1764723754.307302,31.731
1764723754.343718,32,256,1764723754.312257,31.461
1764723754.349008,33,256,1764723754.317425,31.583
1764723754.353823,34,256,1764723754.322293,31.530
1764723754.359095,35,256,1764723754.327285,31.811
1764723754.363665,36,256,1764723754.332231,31.434
1764723754.369109,37,256,1764723754.337408,31.702
1764723754.373957,38,256,1764723754.342371,31.587
1764723754.379096,39,256,1764723754.347383,31.713
1764723754.383846,40,256,1764723754.352407,31.439
1764723754.389169,41,256,1764723754.357362,31.808
1764723754.393923,42,256,1764723754.362411,31.512
1764723754.398957,43,256,1764723754.367378,31.579
1764723754.403845,44,256,1764723754.372358,31.486
1764723754.409000,45,256,1764723754.377293,31.707
1764723754.413874,46,256,1764723754.382292,31.582
1764723754.419016,47,256,1764723754.387399,31.616
1764723754.423914,48,256,1764723754.392324,31.590
1764723754.429044,49,256,1764723754.397293,31.751
1764723754.433832,50,256,1764723754.402287,31.545
1764723754.439082,51,256,1764723754.407377,31.705
1764723754.443796,52,256,1764723754.412297,31.498
1764723754.449101,53,256,1764723754.417356,31.745
1764723754.453757,54,256,1764723754.422276,31.481
1764723754.459071,55,256,1764723754.427370,31.700
1764723754.463692,56,256,1764723754.432276,31.416
1764723754.468956,57,256,1764723754.437359,31.597
1764723754.473712,58,256,1764723754.442292,31.420
1764723754.478951,59,256,1764723754.447401,31.550
1764723754.483740,60,256,1764723754.452294,31.446
1764723754.489270,61,256,1764723754.457300,31.971
1764723754.493797,62,256,1764723754.462299,31.498
1764723754.498848,63,256,1764723754.467283,31.565
1764723754.503799,64,256,1764723754.472256,31.543
1764723754.509030,65,256,1764723754.477282,31.748
1764723754.513844,66,256,1764723754.482294,31.550
1764723754.519202,67,256,1764723754.487364,31.838
1764723754.523924,68,256,1764723754.492367,31.558
1764723754.529211,69,256,1764723754.497375,31.836
1764723754.533754,70,256,1764723754.502301,31.453
1764723754.538678,71,256,1764723754.507291,31.387
1764723754.543745,72,256,1764723754.512298,31.447
1764723754.549173,73,256,1764723754.517416,31.756
1764723754.553685,74,256,1764723754.522290,31.394
1764723754.558972,75,256,1764723754.527286,31.686
1764723754.563858,76,256,1764723754.532285,31.573
1764723754.569067,77,256,1764723754.537284,31.782
1764723754.573731,78,256,1764723754.542280,31.451
1764723754.579064,79,256,1764723754.547279,31.785
1764723754.583805,80,256,1764723754.552281,31.523
1764723754.588976,81,256,1764723754.557327,31.649
1764723754.593711,82,256,1764723754.562298,31.413
1764723754.598996,83,256,1764723754.567391,31.605
1764723754.603775,84,256,1764723754.572289,31.486
1764723754.608953,85,256,1764723754.577376,31.577
1764723754.613698,86,256,1764723754.582296,31.402
1764723754.618959,87,256,1764723754.587337,31.622
1764723754.623711,88,256,1764723754.592287,31.424
1764723754.628949,89,256,1764723754.597306,31.643
1764723754.633822,90,256,1764723754.602296,31.527
1764723754.638672,91,256,1764723754.607291,31.381
1764723754.643799,92,256,1764723754.612284,31.514
1764723754.649375,93,256,1764723754.617286,32.089
1764723754.653784,94,256,1764723754.622284,31.501
1764723754.658807,95,256,1764723754.627289,31.518
1764723754.663790,96,256,1764723754.632285,31.506
1764723754.668788,97,256,1764723754.637285,31.502
1764723754.673769,98,256,1764723754.642287,31.482
1764723754.678700,99,256,1764723754.647285,31.414
1764723754.683746,100,256,1764723754.652298,31.448
1764723754.689149,101,256,1764723754.657303,31.846
1764723754.693765,102,256,1764723754.662296,31.469
1764723754.699146,103,256,1764723754.667378,31.768
1764723754.703694,104,256,1764723754.672297,31.397
1764723754.708933,105,256,1764723754.677354,31.578
1764723754.713681,106,256,1764723754.682289,31.392
1764723754.718933,107,256,1764723754.687370,31.563
1764723754.723885,108,256,1764723754.692367,31.518
1764723754.729077,109,256,1764723754.697387,31.691
1764723754.733807,110,256,1764723754.702299,31.508
1764723754.738974,111,256,1764723754.707289,31.685
1764723754.743759,112,256,1764723754.712286,31.473
1764723754.749093,113,256,1764723754.717287,31.806
1764723754.753791,114,256,1764723754.722301,31.491
1764723754.759205,115,256,1764723754.727308,31.897
1764723754.763781,116,256,1764723754.732300,31.481
1764723754.769058,117,256,1764723754.737302,31.757
1764723754.773859,118,256,1764723754.742299,31.560
1764723754.779078,119,256,1764723754.747410,31.668
1764723754.783955,120,256,1764723754.752425,31.530
1764723754.789191,121,256,1764723754.757424,31.767
1764723754.794032,122,256,1764723754.762410,31.622
1764723754.799174,123,256,1764723754.767447,31.727
1764723754.803899,124,256,1764723754.772376,31.523
1764723754.809027,125,256,1764723754.777375,31.651
1764723754.813909,126,256,1764723754.782377,31.532
1764723754.819062,127,256,1764723754.787410,31.652
1764723754.823879,128,256,1764723754.792372,31.507
1764723754.829076,129,256,1764723754.797319,31.757
1764723754.833956,130,256,1764723754.802413,31.542
1764723754.839068,131,256,1764723754.807420,31.648
1764723754.843913,132,256,1764723754.812382,31.531
1764723754.849176,133,256,1764723754.817389,31.787
1764723754.853971,134,256,1764723754.822458,31.514
1764723754.859194,135,256,1764723754.827462,31.732
1764723754.863981,136,256,1764723754.832463,31.518
1764723754.869073,137,256,1764723754.837462,31.611
1764723754.873981,138,256,1764723754.842338,31.643
1764723754.879003,139,256,1764723754.847291,31.712
1764723754.883796,140,256,1764723754.852307,31.490
1764723754.888760,141,256,1764723754.857330,31.430
1764723754.893888,142,256,1764723754.862304,31.583
1764723754.898845,143,256,1764723754.867291,31.554
1764723754.903871,144,256,1764723754.872313,31.558
1764723754.909101,145,256,1764723754.877304,31.797
1764723754.913967,146,256,1764723754.882297,31.670
1764723754.919272,147,256,1764723754.887303,31.969
1764723754.924000,148,256,1764723754.892282,31.718
1764723754.928926,149,256,1764723754.897320,31.606
1764723754.933899,150,256,1764723754.902307,31.593
1764723754.939207,151,256,1764723754.907323,31.884
1764723754.943989,152,256,1764723754.912311,31.678
1764723754.949340,153,256,1764723754.917381,31.958
1764723754.954041,154,256,1764723754.922311,31.731
1764723754.959244,155,256,1764723754.927378,31.866
1764723754.963956,156,256,1764723754.932303,31.653
1764723754.968975,157,256,1764723754.937311,31.663
1764723754.974023,158,256,1764723754.942377,31.646
1764723754.978876,159,256,1764723754.947366,31.509
1764723754.983746,160,256,1764723754.952356,31.390
1764723754.989136,161,256,1764723754.957370,31.766
1764723754.993717,162,256,1764723754.962302,31.415
1764723754.998728,163,256,1764723754.967299,31.429
1764723755.003835,164,256,1764723754.972316,31.519
1764723755.008748,165,256,1764723754.977351,31.397
1764723755.013777,166,256,1764723754.982303,31.474
1764723755.018701,167,256,1764723754.987298,31.404
1764723755.023811,168,256,1764723754.992301,31.509
1764723755.029286,169,256,1764723754.997372,31.915
1764723755.033770,170,256,1764723755.002347,31.423
1764723755.039024,171,256,1764723755.007346,31.678
1764723755.043741,172,256,1764723755.012341,31.400
1764723755.048978,173,256,1764723755.017337,31.641
1764723755.053689,174,256,1764723755.022298,31.391
1764723755.059128,175,256,1764723755.027296,31.832
1764723755.063921,176,256,1764723755.032303,31.619
1764723755.069085,177,256,1764723755.037309,31.775
1764723755.073882,178,256,1764723755.042320,31.561
1764723755.079089,179,256,1764723755.047317,31.772
1764723755.083895,180,256,1764723755.052359,31.536
1764723755.089061,181,256,1764723755.057433,31.628
1764723755.093963,182,256,1764723755.062417,31.545
1764723755.098942,183,256,1764723755.067379,31.563
1764723755.103751,184,256,1764723755.072338,31.413
1764723755.108920,185,256,1764723755.077307,31.613
1764723755.113725,186,256,1764723755.082352,31.373
1764723755.119010,187,256,1764723755.087363,31.647
1764723755.123679,188,256,1764723755.092300,31.379
1764723755.128942,189,256,1764723755.097310,31.632
1764723755.133657,190,256,1764723755.102304,31.353
1764723755.138641,191,256,1764723755.107303,31.338
1764723755.143738,192,256,1764723755.112296,31.441
1764723755.148727,193,256,1764723755.117299,31.428
1764723755.153682,194,256,1764723755.122296,31.386
1764723755.158727,195,256,1764723755.127323,31.404
1764723755.163776,196,256,1764723755.132320,31.456
1764723755.168702,197,256,1764723755.137305,31.397
1764723755.173818,198,256,1764723755.142356,31.462
1764723755.179145,199,256,1764723755.147380,31.765
1764723755.183825,200,256,1764723755.152444,31.380
1764723755.188722,201,256,1764723755.157351,31.371
1764723755.193657,202,256,1764723755.162304,31.354
1764723755.198634,203,256,1764723755.167303,31.331
1764723755.203706,204,256,1764723755.172300,31.406
1764723755.208687,205,256,1764723755.177301,31.386
1764723755.213760,206,256,1764723755.182297,31.463
1764723755.219149,207,256,1764723755.187299,31.851
1764723755.223819,208,256,1764723755.192300,31.519
1764723755.229308,209,256,1764723755.197368,31.940
1764723755.233741,210,256,1764723755.202317,31.424
1764723755.238816,211,256,1764723755.207310,31.506
1764723755.244019,212,256,1764723755.212337,31.682
1764723755.249115,213,256,1764723755.217360,31.755
1764723755.253769,214,256,1764723755.222355,31.415
1764723755.259040,215,256,1764723755.227425,31.615
1764723755.263704,216,256,1764723755.232317,31.386
1764723755.268905,217,256,1764723755.237339,31.567
1764723755.273778,218,256,1764723755.242322,31.456
1764723755.278943,219,256,1764723755.247333,31.610
1764723755.283857,220,256,1764723755.252314,31.543
1764723755.289097,221,256,1764723755.257330,31.766
1764723755.293907,222,256,1764723755.262370,31.537
1764723755.299128,223,256,1764723755.267339,31.789
1764723755.303897,224,256,1764723755.272312,31.584
1764723755.309001,225,256,1764723755.277311,31.691
1764723755.313901,226,256,1764723755.282303,31.598
1764723755.319209,227,256,1764723755.287304,31.904
1764723755.323942,228,256,1764723755.292347,31.595
1764723755.329161,229,256,1764723755.297327,31.834
1764723755.333941,230,256,1764723755.302336,31.605
1764723755.339090,231,256,1764723755.307316,31.774
1764723755.343845,232,256,1764723755.312327,31.518
1764723755.348781,233,256,1764723755.317338,31.443
1764723755.353833,234,256,1764723755.322362,31.471
1764723755.359072,235,256,1764723755.327327,31.746
1764723755.363841,236,256,1764723755.332329,31.512
1764723755.369125,237,256,1764723755.337346,31.779
1764723755.373911,238,256,1764723755.342421,31.491
1764723755.379112,239,256,1764723755.347327,31.785
1764723755.383765,240,256,1764723755.352308,31.457
1764723755.388969,241,256,1764723755.357403,31.567
1764723755.393774,242,256,1764723755.362338,31.436
1764723755.398953,243,256,1764723755.367339,31.614
1764723755.403668,244,256,1764723755.372313,31.355
1764723755.408970,245,256,1764723755.377342,31.628
1764723755.413730,246,256,1764723755.382330,31.400
1764723755.418931,247,256,1764723755.387306,31.625
1764723755.423737,248,256,1764723755.392327,31.410
1764723755.428913,249,256,1764723755.397314,31.599
1764723755.433723,250,256,1764723755.402307,31.416
1764723755.438948,251,256,1764723755.407309,31.639
1764723755.443677,252,256,1764723755.412317,31.361
1764723755.448968,253,256,1764723755.417310,31.658
1764723755.453717,254,256,1764723755.422310,31.406
1764723755.459025,255,256,1764723755.427310,31.715
1764723755.463657,256,256,1764723755.432302,31.355
1764723755.469022,257,256,1764723755.437327,31.695
1764723755.473691,258,256,1764723755.442312,31.380
1764723755.479032,259,256,1764723755.447313,31.719
1764723755.483682,260,256,1764723755.452315,31.368
1764723755.488968,261,256,1764723755.457316,31.653
1764723755.493670,262,256,1764723755.462305,31.365
1764723755.499000,263,256,1764723755.467305,31.695
1764723755.503720,264,256,1764723755.472306,31.414
1764723755.509084,265,256,1764723755.477334,31.749
1764723755.513741,266,256,1764723755.482311,31.430
1764723755.518769,267,256,1764723755.487309,31.460
1764723755.523816,268,256,1764723755.492308,31.507
1764723755.529069,269,256,1764723755.497322,31.747
1764723755.533749,270,256,1764723755.502320,31.430
1764723755.539002,271,256,1764723755.507308,31.694
1764723755.543750,272,256,1764723755.512309,31.442
1764723755.548762,273,256,1764723755.517304,31.458
1764723755.553849,274,256,1764723755.522303,31.546
1764723755.559052,275,256,1764723755.527305,31.747
1764723755.563763,276,256,1764723755.532308,31.455
1764723755.569059,277,256,1764723755.537304,31.755
1764723755.573843,278,256,1764723755.542304,31.538
1764723755.579150,279,256,1764723755.547335,31.815
1764723755.583916,280,256,1764723755.552319,31.598
1764723755.589243,281,256,1764723755.557311,31.932
1764723755.593916,282,256,1764723755.562306,31.610
1764723755.599138,283,256,1764723755.567302,31.836
1764723755.603954,284,256,1764723755.572304,31.649
