t,backlog_bytes,backlog_pkts,dropped_total
0.017856,0,0,0
0.222406,2980,10,0
0.426776,2384,8,0
0.632832,1192,4,0
0.836672,894,3,0
1.040025,2682,9,0
1.244397,2086,7,0
1.448014,1788,6,0
1.651647,1490,5,0
1.855407,1788,6,0
2.059489,2682,9,0
2.265773,1788,6,0
2.471420,2384,8,0
2.676319,2384,8,0
2.882640,3278,11,0
3.089931,1788,6,0
3.293659,1192,4,0
3.499567,2384,8,0
3.705211,3278,11,0
3.914791,1788,6,0
4.121727,1490,5,0
4.327095,2980,10,0
4.537560,1788,6,0
4.741607,2980,10,0
4.949271,2086,7,0
5.155532,2086,7,0
5.361247,1192,4,0
5.570513,1490,5,0
5.775870,2652,7,0
5.981864,3278,11,0
6.186930,2980,10,0
6.391704,1788,6,0
6.597071,2980,10,0
6.802933,1788,6,0
7.007263,2086,7,0
7.212554,3278,11,0
7.418481,894,3,0
7.624589,1192,4,0
7.829263,2682,9,0
8.033853,1192,4,0
8.246578,2086,7,0
8.450148,2384,8,0
8.656255,3278,11,0
8.861596,3576,12,0
9.068188,1788,6,0
9.273892,2980,10,0
9.479663,3874,13,0
9.683844,2980,10,0
9.888910,596,2,0
10.095083,2384,8,0
10.299751,1490,5,0
10.503904,3278,11,0
10.707181,596,2,0
10.910723,1788,6,0
11.118514,2682,9,0
11.325364,3576,12,0
11.529725,1192,4,0
11.738390,1788,6,0
11.943317,2384,8,0
12.149065,894,3,0
12.352615,2682,9,0
12.559834,1788,6,0
12.764195,1788,6,0
12.969776,1490,5,0
13.178056,3576,12,0
13.383080,4172,14,0
13.587527,1192,4,0
13.794598,2086,7,0
13.999129,1490,5,0
14.203468,2086,7,0
14.411492,1788,6,0
14.620175,2682,9,0
14.825825,2682,9,0
15.029909,894,3,0
15.236840,2980,10,0
15.444564,894,3,0
15.653407,1490,5,0
15.858373,2980,10,0
16.064234,3874,13,0
16.268340,1490,5,0
16.473053,894,3,0
16.676955,2384,8,0
16.881956,2682,9,0
17.087837,2384,8,0
17.291771,2086,7,0
17.495680,2384,8,0
17.702730,2384,8,0
17.907362,1490,5,0
18.111234,1192,4,0
18.314694,1192,4,0
18.521194,2384,8,0
18.729908,1490,5,0
18.935471,2384,8,0
19.140924,1788,6,0
19.345079,1192,4,0
19.551403,2980,10,0
19.755059,596,2,0
19.958763,2384,8,0
20.165360,4172,14,0
20.368563,2086,7,0
20.574249,2086,7,0
20.778248,2980,10,0
20.987359,298,1,0
21.191056,3278,11,0
21.394097,3278,11,0
21.599707,1192,4,0
21.805220,1490,5,0
22.010254,2086,7,0
22.217057,894,3,0
22.421839,1490,5,0
22.628193,2086,7,0
22.831501,2682,9,0
23.036065,596,2,0
23.241211,2086,7,0
23.445667,2682,9,0
23.655250,3278,11,0
23.859178,3576,12,0
24.064710,2682,9,0
24.270660,1788,6,0
24.476123,894,3,0
24.680900,1490,5,0
24.886401,1192,4,0
25.090546,3576,12,0
25.296876,0,0,0
25.505331,0,0,0
25.710239,0,0,0
25.916476,0,0,0
26.124254,0,0,0
26.338762,0,0,0
26.544345,0,0,0
26.749959,0,0,0
26.956323,0,0,0
