t,backlog_bytes,backlog_pkts,dropped_total
0.018001,0,0,0
0.222457,1192,4,0
0.427883,596,2,0
0.633575,1788,6,0
0.837209,1192,4,0
1.040470,1192,4,0
1.244976,894,3,0
1.449360,1490,5,0
1.653764,2980,10,0
1.872146,2384,8,0
2.079330,2086,7,0
2.285802,1192,4,0
2.490891,4172,14,0
2.695440,2086,7,0
2.900791,2086,7,0
3.105300,1788,6,0
3.310842,894,3,0
3.516660,894,3,0
3.722171,298,1,0
3.928305,1490,5,0
4.134109,1192,4,0
4.338481,894,3,0
4.543881,1490,5,0
4.749481,1490,5,0
4.955208,1490,5,0
5.160133,596,2,0
5.364837,1490,5,0
5.570353,2384,8,0
5.774991,894,3,0
5.980254,1788,6,0
6.184017,1788,6,0
6.389088,1788,6,0
6.593204,1490,5,0
6.797260,596,2,0
7.001163,1192,4,0
7.206481,1788,6,0
7.410469,1192,4,0
7.615018,1490,5,0
7.819489,2384,8,0
8.025174,2086,7,0
8.231947,1788,6,0
8.439857,1490,5,0
8.652537,894,3,0
8.859277,1788,6,0
9.065914,1490,5,0
9.270781,1192,4,0
9.474382,2682,9,0
9.678081,2086,7,0
9.886345,1192,4,0
10.091969,2384,8,0
10.296605,1788,6,0
10.506055,1490,5,0
10.709534,1490,5,0
10.913306,596,2,0
11.116930,2682,9,0
11.319957,2652,7,0
11.524731,894,3,0
11.731100,2384,8,0
11.935017,1788,6,0
12.141888,1490,5,0
12.347479,596,2,0
12.553014,1788,6,0
12.758296,2086,7,0
12.964281,2384,8,0
13.170442,596,2,0
13.375185,2086,7,0
13.580919,1490,5,0
13.785269,1490,5,0
13.992194,2384,8,0
14.198699,1192,4,0
14.403666,2086,7,0
14.610025,1788,6,0
14.813925,1788,6,0
15.020165,894,3,0
15.225669,1788,6,0
15.432216,596,2,0
15.636977,2086,7,0
15.842091,2086,7,0
16.048264,2682,9,0
16.253970,2086,7,0
16.459485,596,2,0
16.664024,2682,9,0
16.869346,596,2,0
17.076015,1490,5,0
17.281374,2086,7,0
17.486147,2086,7,0
17.690369,596,2,0
17.894827,1192,4,0
18.100968,2086,7,0
18.307132,2682,9,0
18.511427,2086,7,0
18.716291,298,1,0
18.922141,1192,4,0
19.125427,2086,7,0
19.332161,2086,7,0
19.538853,596,2,0
19.744640,1788,6,0
19.950451,1490,5,0
20.154730,1192,4,0
20.361415,1490,5,0
20.566798,2384,8,0
20.774029,1192,4,0
20.978804,1192,4,0
21.185409,1788,6,0
21.389233,894,3,0
21.595545,1490,5,0
21.800740,1788,6,0
22.005948,1490,5,0
22.209066,3278,11,0
22.415183,2086,7,0
22.620517,1788,6,0
22.825575,1788,6,0
23.031384,2384,8,0
23.238165,1192,4,0
23.442053,596,2,0
23.648327,2384,8,0
23.853956,1788,6,0
24.057563,894,3,0
24.263894,2086,7,0
24.469050,894,3,0
24.676422,1788,6,0
24.879746,1192,4,0
25.085543,1490,5,0
25.293422,0,0,0
25.498832,0,0,0
25.703484,0,0,0
25.908288,0,0,0
26.115104,0,0,0
26.321091,0,0,0
26.527662,0,0,0
26.734050,0,0,0
26.941231,0,0,0
